,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,timestamp_humidity,value_type_humidity,value_humidity,timestamp_P1,value_type_P1,value_P1,timestamp_P2,value_type_P2,value_P2
25,2023-02-04 05:29:35.695352+00:00,temperature,16,2023-02-04 05:29:35+00:00,2023-02-04 05:29:35.695352+00:00,humidity,96,2023-02-04 05:29:35.965241+00:00,P1,23.0,2023-02-04 05:29:35.965241+00:00,P2,13.0
26,2023-02-04 05:32:16.008494+00:00,temperature,16,2023-02-04 05:32:16+00:00,2023-02-04 05:32:16.008494+00:00,humidity,95,2023-02-04 05:32:16.010067+00:00,P1,35.0,2023-02-04 05:32:16.010067+00:00,P2,16.0
27,2023-02-04 05:34:56.099353+00:00,temperature,17,2023-02-04 05:34:56+00:00,2023-02-04 05:34:56.099353+00:00,humidity,95,2023-02-04 05:34:56.099389+00:00,P1,28.0,2023-02-04 05:34:56.099389+00:00,P2,15.0
28,2023-02-04 05:37:36.164356+00:00,temperature,17,2023-02-04 05:37:36+00:00,2023-02-04 05:37:36.164356+00:00,humidity,95,2023-02-04 05:37:36.164372+00:00,P1,39.0,2023-02-04 05:37:36.164372+00:00,P2,17.0
29,2023-02-04 05:40:16.695914+00:00,temperature,17,2023-02-04 05:40:16+00:00,2023-02-04 05:40:16.695914+00:00,humidity,93,2023-02-04 05:40:16.696439+00:00,P1,22.0,2023-02-04 05:40:16.696439+00:00,P2,13.0
30,2023-02-04 05:42:55.878309+00:00,temperature,17,2023-02-04 05:42:55+00:00,2023-02-04 05:42:55.878309+00:00,humidity,92,2023-02-04 05:42:55.878611+00:00,P1,35.0,2023-02-04 05:42:55.878611+00:00,P2,15.0
31,2023-02-04 05:45:36.175949+00:00,temperature,17,2023-02-04 05:45:36+00:00,2023-02-04 05:45:36.175949+00:00,humidity,93,2023-02-04 05:45:36.175555+00:00,P1,23.0,2023-02-04 05:45:36.175555+00:00,P2,13.0
32,2023-02-04 05:48:16.730858+00:00,temperature,18,2023-02-04 05:48:16+00:00,2023-02-04 05:48:16.730858+00:00,humidity,92,2023-02-04 05:48:16.730855+00:00,P1,36.0,2023-02-04 05:48:16.730855+00:00,P2,12.0
33,2023-02-04 05:50:57.144848+00:00,temperature,18,2023-02-04 05:50:57+00:00,2023-02-04 05:50:57.144848+00:00,humidity,92,2023-02-04 05:50:57.144978+00:00,P1,63.0,2023-02-04 05:50:57.144978+00:00,P2,17.0
34,2023-02-04 05:53:37.412568+00:00,temperature,18,2023-02-04 05:53:37+00:00,2023-02-04 05:53:37.412568+00:00,humidity,91,2023-02-04 05:53:37.419565+00:00,P1,12.0,2023-02-04 05:53:37.419565+00:00,P2,11.0
35,2023-02-04 05:56:16.663044+00:00,temperature,18,2023-02-04 05:56:16+00:00,2023-02-04 05:56:16.663044+00:00,humidity,90,2023-02-04 05:56:16.663046+00:00,P1,20.0,2023-02-04 05:56:16.663046+00:00,P2,7.0
